product,rating,rating count,price,product url
Columbia Women's Mighty Lite Hooded Jacket  ,4.5 out of 5 stars,"7,888  ",115.47,https://amazon.com/Columbia-Womens-Mighty-Hooded-X-Large/dp/B00AG32BZ8/ref=sr_1_34?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-34
MAGNIVIT Men's Bomber Jacket Casual Fall Winter Military Jacket and Coats Outwear  ,4.4 out of 5 stars,"1,760  ",46.98,https://amazon.com/MAGNIVIT-Bomber-Jacket-Casual-Outwear/dp/B08CN6DHZX/ref=sr_1_35?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-35
MAGCOMSEN Men's Hooded Tactical Jacket Water Resistant Soft Shell Winter Coats  ,4.4 out of 5 stars,"3,766  ",53.98,https://amazon.com/MAGCOMSEN-Tactical-Military-Hunting-Softshell/dp/B01GO0QSN2/ref=sr_1_36?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-36
Amazon Essentials Boys and Toddlers' Light-Weight Water-Resistant Packable Hooded Puffer Coat  ,4.5 out of 5 stars,"6,094  ",37.6,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B0738HD59H/ref=sr_1_37?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-37
Carhartt Men's Bartlett Jacket (Regular and Big & Tall Sizes)  ,4.8 out of 5 stars,"6,445  ",142.92,https://amazon.com/Carhartt-Bartlett-Jacket-Regular-Medium/dp/B07RY7L1QL/ref=sr_1_38?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-38
GOLDEN CAMEL Men's Winter Jacket Windproof Ski Snow Jacket Waterproof Thicken Parka Rain Jacket Warm Puffer Coat  ,5.0 out of 5 stars,5  ,44.99,https://amazon.com/GOLDEN-CAMEL-Windproof-Waterproof-Thicken/dp/B0B5TR3K7C/ref=sr_1_39?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-39
Amazon Essentials Women's Lightweight Long-Sleeve Water-Resistant Puffer Jacket (Available in Plus Size)  ,4.5 out of 5 stars,"12,923  ",43.9,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07BMLQYRT/ref=sr_1_40?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-40
GOLDEN CAMEL Women's Winter Jacket Windproof Ski Snow Jacket Waterproof Thicken Parka Rain Jacket Warm Puffer Coat  ,5.0 out of 5 stars,3  ,44.99,https://amazon.com/GOLDEN-CAMEL-Windproof-Waterproof-Thicken/dp/B0B5TW2XYN/ref=sr_1_41?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-41
"The Children's Place Girls' Big Kid Heavy 3 in 1 Winter Jacket, Wind Water-Resistant Shell, Fleece Inner  ",4.8 out of 5 stars,8  ,39.57,https://amazon.com/Childrens-Place-Winter-Water-Resistant-Medallion/dp/B09XC42YCN/ref=sr_1_42?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-42
Columbia Women's Switchback Sherpa Lined Jacket  ,4.6 out of 5 stars,"1,797  ",79.99,https://amazon.com/Columbia-Womens-Switchback-Sherpa-Jacket/dp/B07K8QKTVX/ref=sr_1_43?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-43
DRI Duck Men's Cheyenne Jacket  ,4.7 out of 5 stars,"2,828  ",74.0,https://amazon.com/DRI-Duck-Cheyenne-Jacket-Field/dp/B003UD8JYS/ref=sr_1_44?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-44
Columbia Girls' Katelyn Crest Jacket  ,4.7 out of 5 stars,"2,513  ",79.99,https://amazon.com/Columbia-Girls-Katelyn-Jacket-Medium/dp/B00HFFJE7S/ref=sr_1_46?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-46
